Country Name En,Unit Name,1950 value,1950 flag,1951 value,1951 flag,1952 value,1952 flag,1953 value,1953 flag,1954 value,1954 flag,1955 value,1955 flag,1956 value,1956 flag,1957 value,1957 flag,1958 value,1958 flag,1959 value,1959 flag,1960 value,1960 flag,1961 value,1961 flag,1962 value,1962 flag,1963 value,1963 flag,1964 value,1964 flag,1965 value,1965 flag,1966 value,1966 flag,1967 value,1967 flag,1968 value,1968 flag,1969 value,1969 flag,1970 value,1970 flag,1971 value,1971 flag,1972 value,1972 flag,1973 value,1973 flag,1974 value,1974 flag,1975 value,1975 flag,1976 value,1976 flag,1977 value,1977 flag,1978 value,1978 flag,1979 value,1979 flag,1980 value,1980 flag,1981 value,1981 flag,1982 value,1982 flag,1983 value,1983 flag,1984 value,1984 flag,1985 value,1985 flag,1986 value,1986 flag,1987 value,1987 flag,1988 value,1988 flag,1989 value,1989 flag,1990 value,1990 flag,1991 value,1991 flag,1992 value,1992 flag,1993 value,1993 flag,1994 value,1994 flag,1995 value,1995 flag,1996 value,1996 flag,1997 value,1997 flag,1998 value,1998 flag,1999 value,1999 flag,2000 value,2000 flag,2001 value,2001 flag,2002 value,2002 flag,2003 value,2003 flag,2004 value,2004 flag,2005 value,2005 flag,2006 value,2006 flag,2007 value,2007 flag,2008 value,2008 flag,2009 value,2009 flag,2010 value,2010 flag,2011 value,2011 flag,2012 value,2012 flag,2013 value,2013 flag,2014 value,2014 flag,2015 value,2015 flag,2016 value,2016 flag,2017 value,2017 flag,2018 value,2018 flag,2019 value,2019 flag,2020 value,2020 flag,2021 value,2021 flag,2022 value,2022 flag,2023 value,2023 flag
Algeria,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,2.0,A,95.0,A,141.0,A,250.0,A,274.0,A,304.0,A,368.0,A,407.0,A,150.0,A,147.0,A,300.0,E,389.0,A,369.0,E,322.0,E,322.0,E,283.0,A,250.0,A,351.0,E,454.0,E,476.0,E,417.0,E,586.0,E,368.0,E,288.0,A,405.0,A,2779.916,E,2163.232,E,1758.742,E,2245.77,E,2644.002,E,2192.754,E,2479.871,E,1332.29,A,1959.59,A,4467.314,A,7153.416,A,4835.467,A,5435.986,A,4779.287,A,5208.0,E,5258.0,E
Argentina,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,1.0,E,2.0,E,4.0,E,5.0,E,5.0,E,8.0,E,11.0,E,15.0,E,19.0,E,23.0,E,27.0,E,31.0,E,36.0,E,42.0,E,49.0,E,57.0,E,67.0,E,78.0,E,90.0,E,105.0,E,123.0,E,143.0,E,150.0,A,270.0,A,270.0,A,353.0,A,353.0,A,300.0,A,300.0,A,350.0,A,402.0,A,707.0,A,763.0,A,1474.0,A,1322.0,A,1314.0,A,1040.0,E,1218.0,A,1784.0,A,1340.0,A,1457.0,A,1647.0,A,1848.0,A,2057.0,A,2528.0,A,2957.0,A,2700.0,A,2582.95,A,2654.35,A,3193.25,A,2958.42,A,3825.12,A,4002.71,A,3662.65,A,3673.485,A,3567.76,A,3205.31,A,2592.19,A,2084.5,A,3687.0,A,6022.03,A,5515.964,A
Australia,Tonnes - live weight,3000.0,A,3000.0,A,3100.0,A,3600.0,A,4400.0,A,4700.0,A,4000.0,A,4800.0,A,4800.0,A,5800.0,A,5700.0,A,6500.0,A,5800.0,A,5900.0,A,5800.0,A,6600.0,A,6800.0,A,7300.0,A,7500.0,A,7500.0,A,7021.0,A,9800.0,A,10400.0,A,9200.0,A,10484.0,A,9204.0,A,10439.0,A,11126.0,A,10236.0,A,8702.0,A,8994.0,A,9185.0,A,8841.0,A,9056.0,A,8785.0,A,9534.0,A,9083.0,A,9660.0,A,13080.0,A,13685.0,A,12401.0,A,14327.0,A,16422.0,A,18359.0,A,19129.0,A,22395.0,A,25323.0,A,26543.0,A,24570.0,A,29601.0,A,32083.0,A,35883.0,A,38908.037,A,39927.4,A,45083.0,A,44852.0,A,51649.48,A,57936.12,A,60804.08,A,71672.163,A,75678.85,A,76662.49,A,81832.82,A,80061.471,A,73237.49,A,83134.9,A,91651.891,A,85335.483,A,96181.688,A,90929.907,A,102724.9,A,128960.759,A,125280.531,A,120268.918,A
Austria,Tonnes - live weight,350.0,E,370.0,E,390.0,E,410.0,E,430.0,E,450.0,E,480.0,E,510.0,E,530.0,E,650.0,A,650.0,A,660.0,A,670.0,A,600.0,A,680.0,A,730.0,A,750.0,A,790.0,A,740.0,A,800.0,A,870.0,A,960.0,A,1080.0,A,1300.0,A,1220.0,A,1200.0,A,1390.0,A,1600.0,A,2900.0,A,3400.0,A,3200.0,A,3200.0,A,3100.0,A,3600.0,A,4000.0,A,4100.0,A,4060.0,A,4000.0,A,4500.0,A,4450.0,A,3126.0,A,3135.0,A,3140.0,A,3140.0,A,3103.0,A,2918.0,A,2949.0,A,3018.0,A,2909.0,A,3067.0,A,2847.0,A,2393.0,A,2333.0,A,2233.0,A,2267.0,A,2420.0,A,2503.0,A,2539.0,A,2087.0,A,2141.0,A,2167.0,A,2904.3,A,3125.5,A,3237.0,A,3390.3,A,3503.4,A,3483.4,A,3861.9,A,3991.6,A,4255.025,A,4541.911,A,4920.413,A,4718.718,A,5170.229,A
Bahamas,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,10.0,E,42.0,A,42.0,E,37.0,E,51.0,A,69.0,A,49.0,A,6.0,A,10.0,A,8.0,A,4.0,A,24.0,A,1.0,A,1.0,E,1.0,E,1.0,E,2.0,E,13.0,A,25.0,E,52.0,A,30.0,E,85.0,E,52.0,E,30.0,E,20.0,A,17.0,E,1.0,E,1.0,E,1.0,E,1.0,E,9.35,A,9.33,A,9.0,E,6.0,E,6.84,A,6.0,E,6.0,E,1.0,E,1.0,E,1.0,E
Bahrain,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,4.0,A,3.0,A,0.0,A,1.0,A,3.0,A,12.0,A,0.0,A,3.0,A,4.0,A,8.0,A,3.0,A,2.0,A,1.0,A,2.0,A,2.0,A,3.187,A,3.424,A,1.725,A,0.0,A,5.71,A,6.0,E,14.212,A,21.0,E,21.0,E,36.0,E,46.0,E,51.0,E,56.0,E,61.0,E
Bangladesh,Tonnes - live weight,37855.0,E,38853.0,E,39875.0,E,40932.0,E,42018.0,E,43130.0,E,44280.0,E,45469.0,E,46688.0,E,47947.0,E,49237.0,E,50569.0,E,51944.0,E,53362.0,E,54824.0,E,58030.0,A,57897.0,E,59519.0,E,59460.0,A,62927.0,E,64716.0,E,68080.0,A,68508.0,E,70525.0,E,70970.0,A,73340.0,A,77063.0,E,77230.0,A,82760.0,E,87360.0,E,91030.0,A,96780.0,E,101630.0,E,107000.0,E,117025.0,A,123811.0,A,144723.0,A,166100.0,A,175925.0,A,183505.0,A,192592.0,A,210993.0,A,226863.0,A,237743.0,A,264190.0,A,317073.0,A,379087.0,A,485864.0,A,574812.0,A,593202.0,A,657120.0,A,712640.0,A,786604.0,A,856956.0,A,914752.0,A,882091.0,A,892049.0,A,945812.0,A,1005542.0,A,1064285.0,A,1308515.0,A,1523759.0,A,1726066.0,A,1859808.0,A,1956925.0,A,2060408.0,A,2203554.0,A,2333402.0,A,2405516.0,A,2488800.0,A,2584256.0,A,2639185.0,A,2731563.0,A,2852572.0,A
Brazil,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,10.0,E,19.0,E,27.0,E,50.0,E,93.0,E,158.0,E,286.0,E,433.0,E,780.0,E,1132.0,E,1687.0,E,3737.0,E,5794.0,E,7586.0,E,9168.0,E,10700.0,A,10873.0,A,10990.0,A,13140.0,E,15559.0,E,18170.0,E,20490.0,E,23390.0,E,29820.0,A,30390.0,E,30915.0,E,46202.0,A,77690.0,E,87676.0,A,103915.0,A,140657.0,A,172450.0,A,205568.0,A,247678.0,A,273268.0,A,269699.0,A,257784.0,A,271697.0,A,289048.0,A,331553.0,A,365127.0,A,411777.0,A,436084.0,A,480880.0,A,477634.465,A,564221.573,A,578372.925,A,543082.013,A,565296.448,A,581737.705,A,600700.09,A,630900.2,A,650672.227,A,738981.0,A,793095.871,A
Bulgaria,Tonnes - live weight,300.0,A,300.0,A,300.0,A,400.0,A,800.0,A,700.0,A,550.0,A,500.0,A,500.0,A,500.0,A,900.0,A,900.0,A,1000.0,A,800.0,A,4100.0,A,5100.0,A,4400.0,A,6800.0,A,5900.0,A,5800.0,A,5600.0,A,5300.0,A,4600.0,A,4900.0,A,5800.0,A,6188.0,A,6250.0,A,8134.0,A,7767.0,A,10042.0,A,11500.0,A,12720.0,A,14636.0,A,12919.0,A,14571.0,A,10560.0,A,12138.0,A,12647.0,A,12141.0,A,11615.0,A,7849.0,A,7798.0,A,8132.0,A,7897.0,A,6100.0,E,4615.0,E,4727.0,E,5437.0,A,4252.0,A,7780.0,A,3654.0,A,2938.0,A,2308.0,A,4465.0,A,2489.0,A,3145.0,A,3257.0,A,4032.0,A,5157.0,A,6722.538,A,7920.617,A,5527.175,A,5975.06,A,12151.65,A,11171.795,A,10873.372,A,13128.734,A,13708.627,A,13770.455,A,14051.485,A,13003.603,A,12973.568,A,9005.957,A,9928.228,A
Canada,Tonnes - live weight,2700.0,E,2710.0,E,2710.0,E,2720.0,E,2830.0,E,2640.0,E,2740.0,E,2750.0,E,2960.0,E,2970.0,E,2975.0,E,2990.0,E,3100.0,E,3215.0,E,3230.0,E,3242.0,E,3258.0,E,3275.0,E,3394.0,E,3405.0,E,3591.0,A,3893.0,A,4561.0,A,5333.0,A,4583.0,A,4129.0,A,3943.0,A,3897.0,A,4038.0,A,3458.0,A,3566.0,A,4074.0,A,3421.0,A,4289.0,A,7720.0,A,8798.0,A,12678.0,A,16890.0,A,23622.0,A,32451.0,A,41216.0,A,48068.0,A,45386.0,A,52442.0,A,55430.0,A,65207.0,A,72376.0,A,81676.0,A,91046.0,A,112916.0,A,127665.0,A,153046.0,A,172046.0,A,167798.0,A,145018.0,A,154587.0,A,171629.0,A,152486.0,A,155549.0,A,155928.0,A,162341.0,A,169706.0,A,184910.0,A,168015.0,A,139732.0,A,187462.0,A,201004.0,A,191311.0,A,190383.0,A,187456.0,A,167138.0,A,188418.0,A,167770.0,A,146183.0,A
Chile,Tonnes - live weight,40.0,E,40.0,E,40.0,E,50.0,E,50.0,E,50.0,E,60.0,E,70.0,E,70.0,E,70.0,E,80.0,E,80.0,E,90.0,E,100.0,E,110.0,E,120.0,E,230.0,E,144.0,E,183.0,E,201.0,E,183.0,E,212.0,E,258.0,E,370.0,E,443.0,E,543.0,E,736.0,E,818.0,E,1093.0,E,1514.0,E,2088.0,E,2789.0,E,5316.0,A,1972.0,A,8611.0,A,7497.0,A,9941.0,A,13936.0,A,32349.0,A,51510.0,A,70464.0,A,105258.0,A,116281.0,A,135090.0,A,183747.0,A,206266.0,A,323115.0,A,375113.0,A,361430.0,A,305494.0,A,425058.0,A,631634.0,A,617303.0,A,607338.0,E,696157.0,E,739368.0,E,832329.0,E,806166.0,E,870845.0,E,881084.0,A,713241.0,E,969539.0,A,1075547.0,A,1045718.0,A,1227359.0,A,1057742.0,A,1050117.0,A,1219747.097,A,1287232.58,A,1407289.0,A,1505486.0,A,1443520.0,A,1524149.0,A,1502919.0,A
China,Tonnes - live weight,75961.0,E,147193.0,E,196444.0,E,252930.0,E,367849.0,E,430267.0,E,407732.0,E,704496.0,E,688567.0,E,898300.0,E,958506.0,E,777762.0,E,741121.0,E,856931.0,E,1017083.0,E,1159540.0,E,1320775.0,E,1315911.0,E,1306208.0,E,1513849.0,E,1480670.0,E,1790968.0,E,1987611.0,E,1823366.0,E,1975622.0,E,2157727.0,E,2106125.0,E,2788044.0,E,2987334.0,A,2901626.0,A,3105342.0,A,3033775.0,A,3258008.0,A,3657489.0,A,4271240.0,A,5026016.0,A,5606227.0,A,6325967.0,A,7376299.0,A,8101298.0,A,8392965.0,A,9695110.0,A,1.2185159E7,A,1.5221669E7,A,1.8213586E7,A,2.1152498E7,A,2.3465787E7,A,2.3747399E7,E,2.5671893E7,E,2.8000956E7,E,2.9749708E7,E,3.1102502E7,E,3.3160273E7,E,3.4891716E7,E,3.7172411E7,E,3.8943267E7,E,4.0911091487E7,A,4.2530160303E7,A,4.4072886736E7,A,4.6062875713E7,E,4.7789756781E7,E,4.9147606101E7,E,5.2082585663E7,E,5.5029057764E7,E,5.7320503727E7,E,5.9368941586E7,E,6.2318377873E7,A,6.4358480813E7,A,6.6135059342E7,A,6.8423859E7,A,7.048353848E7,A,7.2805297E7,A,7.5434999E7,A,7.82769406E7,A
"China, Hong Kong SAR",Tonnes - live weight,550.0,A,570.0,A,605.0,A,660.0,A,765.0,A,500.0,E,330.0,E,460.0,E,790.0,E,565.0,E,600.0,E,665.0,E,690.0,E,700.0,E,1390.0,E,1279.0,A,1138.0,A,1169.0,A,1852.0,A,2140.0,A,3113.0,A,3287.0,A,3619.0,A,4010.0,A,4287.0,A,5239.0,A,6086.0,A,5101.0,A,6816.0,A,7383.0,A,7887.0,A,7913.0,A,9287.0,A,8540.0,A,8356.0,A,7901.0,A,9121.0,A,10436.0,A,10778.0,A,9529.0,A,10256.0,A,10624.0,A,9333.0,A,9299.0,A,8966.0,A,8571.0,A,8418.0,A,8310.0,A,6439.0,A,6052.0,A,4988.0,A,5627.0,A,4302.0,A,4857.0,A,4615.0,A,4130.0,A,4125.0,A,4514.0,A,4754.0,A,4819.0,A,4338.0,A,3438.0,A,4093.0,A,3764.0,A,3897.0,A,3894.0,A,4258.0,A,4172.0,A,4133.0,A,3787.1,A,3834.7,A,4008.87,A,3361.2,A,2059.81,A
Cook Islands,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,1.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.15,E,0.285,E,1.98,E,2.0,E,2.0,E,2.0,E,2.0,E,6.2,A,8.0,E,8.0,E,9.96,A,10.5,E,8.5,E,8.5,E,8.5,E,8.5,E,8.5,E,8.5,E,9.5,E
Cuba,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,20.0,E,80.0,E,220.0,E,350.0,E,460.0,E,570.0,E,680.0,E,810.0,E,1040.0,E,1310.0,E,1320.0,E,1690.0,E,1990.0,E,2309.0,E,2977.0,E,3779.0,A,4145.0,A,4383.0,A,4637.0,A,4626.0,A,5578.0,A,5768.0,A,6036.0,A,8174.0,A,8261.0,A,10977.0,A,12774.0,A,16273.0,A,22276.0,A,36354.0,A,36367.0,A,39603.0,A,40166.0,A,32780.0,A,25569.0,A,27044.0,A,26897.0,A,27562.0,A,22635.0,A,27210.0,A,37526.0,A,36685.0,A,36002.0,A,31422.0,A,24597.8,A,26179.2,A,29577.7,A,31282.6,A,32056.0,A,29185.0,A,31210.0,A,28628.0,A,27169.8,A,26240.0,A,22954.1,A,15542.4,A,12823.82,A
Czechoslovakia [former],Tonnes - live weight,3590.0,A,4120.0,A,6633.0,A,7078.0,A,6131.0,A,6337.0,A,6488.0,A,7180.0,A,8112.0,A,8572.0,A,8824.0,A,9929.0,A,9929.0,A,9675.0,A,10641.0,A,11023.0,A,11522.0,A,11783.0,A,13771.0,A,13994.0,A,13366.0,A,13866.0,A,15170.0,A,15426.0,A,15855.0,A,16940.0,A,17364.0,A,17958.0,A,17094.0,A,16817.0,A,15957.0,A,16503.0,A,18041.0,A,19525.0,A,19488.0,A,19813.0,A,21234.0,A,20736.0,A,21247.0,A,21266.0,A,22326.0,A,22046.0,A,24135.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,Tonnes - live weight,661.0,E,846.0,E,1070.0,E,1339.0,E,1662.0,E,2028.0,E,2468.0,E,2996.0,E,3619.0,E,4357.0,E,5236.0,E,6287.0,E,7556.0,E,9229.0,E,11410.0,E,14143.0,E,17841.0,E,24690.0,E,40218.0,E,55844.0,E,71743.0,E,88133.0,E,105263.0,E,123457.0,E,143138.0,E,165608.0,E,192889.0,E,223564.0,E,258006.0,E,297961.0,E,347299.0,E,404354.0,E,470917.0,E,549383.0,E,694800.0,E,744900.0,E,855100.0,E,1080000.0,E,1090000.0,E,1200000.0,E,900000.0,E,950000.0,E,1100000.0,A,1130000.0,E,817039.0,A,738317.0,A,782475.0,A,489321.0,A,481500.0,E,481500.0,E,467700.0,E,508095.0,A,508095.0,A,508095.0,E,508105.0,E,508175.0,E,508180.0,E,508250.0,E,508550.0,E,508660.0,E,509785.0,E,509800.0,E,510610.0,E,511675.0,E,567545.0,E,567750.0,E,619750.0,E,625060.0,E,679060.0,E,679560.0,E,680300.0,E,680560.0,E,680700.0,E,680700.0,E
Denmark,Tonnes - live weight,2146.0,A,2500.0,A,2800.0,A,2900.0,A,3300.0,A,3641.0,A,3950.0,A,4361.0,A,5274.0,A,6044.0,A,6045.0,A,7538.0,A,7700.0,A,7824.0,A,8263.0,A,10809.0,A,10135.0,A,10638.0,A,12178.0,A,11147.0,A,9272.0,A,11910.0,A,13914.0,A,13176.0,A,12190.0,A,15188.0,A,14149.0,A,13633.0,A,16060.0,A,17118.0,A,18555.0,A,21202.0,A,21655.0,A,25363.0,A,23609.0,A,24244.0,A,24402.0,A,25851.0,A,28659.0,A,33059.0,A,41946.0,A,42098.0,A,43264.0,A,39739.0,A,42892.0,A,44730.0,A,41924.0,A,39697.0,A,42368.0,A,42670.0,A,43609.0,A,41573.0,A,32026.0,A,37772.0,A,42814.0,A,39012.0,A,37188.0,A,31168.0,A,36066.0,A,35130.4,A,36175.0,E,35918.0,E,34585.54,A,37707.2,E,34382.2,E,35866.7,A,36338.0,E,37499.0,E,36453.0,E,40220.96,A,42629.0,A,40594.2,A,37922.2,A,33135.4,A
Ecuador,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,10.0,E,50.0,E,50.0,E,200.0,E,513.0,E,1030.0,E,1591.0,E,2155.0,E,3552.0,E,4113.0,E,5009.0,E,9565.0,E,12554.0,E,22016.0,E,36273.0,E,34225.0,A,30876.0,A,44339.0,A,70099.0,A,75631.0,A,71211.0,A,77730.0,A,107145.0,A,116694.0,A,87763.0,A,89096.0,A,106223.0,A,108880.0,A,134497.0,A,145790.0,A,126575.0,A,61311.0,A,57587.0,E,77636.0,A,95278.0,A,108673.0,A,138562.0,A,169588.0,A,171020.0,E,173222.0,E,219463.0,A,272720.8,A,309702.0,E,322655.0,A,332382.0,A,368492.0,E,426750.4,A,451395.3,A,485005.0,E,581450.0,E,695850.0,A,774588.55,A,904136.29,A,1123048.0,E,1234088.0,E
Egypt,Tonnes - live weight,2000.0,E,2000.0,E,2500.0,E,2700.0,E,3000.0,E,3350.0,E,3400.0,E,3800.0,E,4300.0,E,4600.0,E,4600.0,E,5200.0,E,5200.0,E,6000.0,E,7000.0,E,6200.0,E,5900.0,E,5600.0,E,5600.0,E,5900.0,E,6000.0,E,7000.0,E,8000.0,E,9000.0,E,9000.0,E,9000.0,E,11000.0,E,13000.0,E,15000.0,E,17000.0,E,19000.0,E,21000.0,E,24000.0,E,25000.0,E,27000.0,E,41846.0,E,45500.0,E,46400.0,E,52200.0,E,60500.0,E,61916.0,A,61617.0,A,63895.0,A,51210.0,A,56603.0,A,71815.0,A,91137.0,A,85704.0,A,139389.0,A,226276.0,A,340093.0,A,342864.0,A,376296.0,A,445181.0,A,471535.0,A,539748.0,A,595030.0,A,635516.0,A,693765.0,A,705490.0,A,919585.0,A,986820.0,A,1017738.0,A,1097544.0,A,1137091.0,A,1174831.0,A,1370660.0,A,1406864.5,A,1594231.0,A,1641949.0,A,1591896.0,A,1576189.4,A,1552430.0,A,1552430.0,E
Fiji,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,6.0,A,757.0,A,8660.0,A,10896.0,A,5089.0,A,6045.0,A,6353.0,A,3493.0,A,2498.9,A,1832.034,A,184.0,E,200.0,E,255.0,A,365.0,A,2408.0,A,16860.02,A,6991.0,A,4927.0,A,1206.0,A,394.0,A,561.5,A,561.5,A,1618.0,A,830.0,A,888.0,A,670.026,A,767.5,A,646.0,A,616.0,A,371.0,A,1079.0,A,688.0,A,185.0,E,245.0,E,300.0,E,305.0,E,322.3,E,206.1,A,211.0,E,542.3,A
Finland,Tonnes - live weight,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A,50.0,E,190.0,E,390.0,E,600.0,E,800.0,E,999.0,E,1201.0,E,1403.0,E,1200.0,A,1800.0,A,1800.0,A,2500.0,A,2500.0,A,3455.0,A,3275.0,A,4921.0,A,5698.0,A,6334.0,A,7746.0,A,9586.0,A,10166.0,A,11006.0,A,12689.0,A,16367.0,A,18550.0,A,18550.0,A,19271.0,A,17909.0,A,17526.0,A,16682.0,A,17345.0,A,17659.0,A,16426.0,A,16024.0,A,15449.0,A,15400.0,A,15739.0,A,15132.0,A,12558.0,A,12821.0,A,14355.0,A,12891.0,A,13025.0,A,13439.0,A,13627.0,A,11772.0,A,11275.0,A,12659.0,A,13613.0,A,13465.0,A,14877.0,A,14412.17,A,14586.9,A,14163.7,A,15295.8,A,15052.9,A,14399.4,A,16280.6,A,15168.6,A
France,Tonnes - live weight,104000.0,A,115100.0,A,92000.0,A,115800.0,A,85900.0,A,119300.0,A,104000.0,A,104900.0,A,91600.0,A,108700.0,A,111100.0,A,116700.0,A,106900.0,A,110000.0,A,98220.0,A,111650.0,A,102700.0,A,115255.0,A,108610.0,A,104725.0,A,106444.0,A,85280.0,A,128308.0,A,127366.0,A,137010.0,A,164937.0,A,148586.0,A,180727.0,A,163893.0,A,188692.0,A,207039.0,A,200250.0,A,192707.0,A,196288.0,A,192609.0,A,226903.0,A,243671.0,A,231894.0,A,227544.0,A,225122.0,A,256653.0,A,245094.0,A,250254.0,A,277323.0,A,280954.0,A,280786.0,A,285526.0,A,287243.0,A,267850.0,A,264857.0,A,266802.0,A,251655.0,A,251758.0,A,239601.0,A,242167.0,A,244925.0,A,237375.0,A,237451.0,A,238248.6,A,234002.0,A,203409.0,A,193662.2,A,205151.9,A,200401.1,A,180390.0,A,163352.6,A,180610.8,A,188605.81,A,187485.08,A,196171.36,A,191070.413,A,193352.177,A,200633.991,A,186568.789,A
Germany,Tonnes - live weight,10450.0,A,10110.0,A,15360.0,A,13020.0,A,10980.0,A,15330.0,A,9490.0,A,11440.0,A,15400.0,A,20250.0,A,19810.0,A,16670.0,A,12520.0,A,12680.0,A,13830.0,A,14490.0,A,19950.0,A,20600.0,A,22160.0,A,19814.0,A,23477.0,A,20636.0,A,25103.0,A,29169.0,A,35783.0,A,39380.0,A,44071.0,A,36230.0,E,35893.0,E,25703.0,E,38789.0,A,35543.0,E,52616.0,A,70965.0,A,97785.0,A,61134.0,A,70235.0,A,66828.0,A,72005.0,A,66618.0,A,64435.0,A,74692.0,A,96654.0,A,69500.0,A,48852.0,A,64096.0,A,83237.0,A,65433.0,A,73020.0,A,79567.0,A,65891.0,A,53409.0,A,49852.0,A,74280.0,A,57233.0,A,44685.0,A,35379.0,A,44994.0,A,43977.0,A,38907.0,A,40694.0,A,39141.0,A,26360.0,A,25289.0,A,26032.0,A,29909.0,A,41801.0,A,35979.0,A,34196.0,A,40756.0,A,32258.0,A,32649.0,A,26545.0,A,34961.3,A
Greece,Tonnes - live weight,50.0,E,50.0,E,80.0,E,102.0,E,115.0,E,130.0,E,175.0,E,110.0,E,110.0,E,270.0,E,330.0,E,290.0,E,390.0,E,450.0,E,530.0,E,620.0,E,630.0,E,800.0,E,860.0,E,950.0,E,1040.0,E,975.0,E,1080.0,E,1230.0,E,1400.0,E,1520.0,E,1612.0,E,1704.0,E,1826.0,E,1872.0,E,1963.0,E,2065.0,E,2110.0,E,2260.0,E,2542.0,A,2377.0,A,2296.0,A,2741.0,A,4087.0,A,4737.0,A,9523.0,A,12615.0,A,20306.0,A,32578.0,A,33182.0,A,32644.0,A,39852.0,A,48838.0,A,59926.0,A,84274.0,A,95418.0,A,97512.0,A,87928.0,A,101434.0,A,97143.0,A,106208.0,A,113384.0,A,113297.0,A,115068.0,A,122011.0,A,121244.0,A,110809.1,E,110973.468,A,113999.85,A,104663.0,A,107161.8,A,123707.1,A,125524.7,A,132364.52,A,128821.578,A,131737.165,A,143925.564,A,141997.591,A,141932.769,A
